P2ACE,P1NETPOINTWON,P1BREAKPOINTWON,P1ACE,P1FIRSTSRVWON,P1FIRSTSRVIN,P2UNFERR,P1DOUBLEFAULT,P2NETPOINT,P1FORCEDERROR,P2BREAKPOINTMISSED,P2NETPOINTWON,P2DOUBLEFAULT,P2SECONDSRVIN,P2FIRSTSRVIN,P2SECONDSRVWON,P2WINNER,P2BREAKPOINTWON,P1SECONDSRVIN,P1WINNER,P2BREAKPOINT,P2FORCEDERROR,P1NETPOINT,P1BREAKPOINTMISSED,P1UNFERR,P2FIRSTSRVWON,P1BREAKPOINT,P1SECONDSRVWON,SURF_CODE,WINNER
5,18,6,9,38,49,33,2,10,23,0,8,6,32,45,16,18,1,22,34,1,23,25,5,25,27,11,12,0,Player1
15,16,2,10,45,74,29,3,21,29,6,13,5,50,48,28,46,6,32,34,12,33,20,3,41,42,5,18,0,Player2
2,16,4,4,40,46,63,4,38,37,1,24,8,31,73,16,21,1,35,26,2,22,25,5,28,49,9,24,0,Player1
16,16,1,5,21,39,15,4,16,26,2,12,0,30,52,13,31,6,28,28,8,19,25,3,34,41,4,13,0,Player2
13,15,4,11,59,70,48,6,37,40,2,22,5,41,74,17,43,1,45,35,3,50,25,5,25,54,9,25,0,Player1
11,17,2,5,39,62,33,3,25,25,6,16,3,27,66,17,44,3,42,35,9,20,28,2,46,51,4,21,0,Player2
2,24,4,6,52,76,34,5,25,34,7,18,5,45,66,28,43,5,37,42,12,37,39,6,44,43,10,16,0,Player2
23,12,5,17,56,84,65,6,14,45,7,11,7,48,96,22,68,6,64,51,13,28,23,15,48,74,20,33,0,Player2
20,15,5,10,66,85,63,5,30,63,6,23,5,56,114,30,55,6,73,48,12,58,23,8,51,84,13,42,0,Player1
8,37,3,13,57,79,29,6,37,46,10,22,1,47,80,28,29,6,60,59,16,44,55,0,66,55,3,30,0,Player2
9,16,1,8,57,84,50,6,39,58,13,22,3,39,79,27,49,7,56,23,20,48,35,4,39,59,5,29,0,Player2
4,8,3,17,47,55,33,5,39,27,3,26,0,31,60,19,31,0,22,31,3,35,15,4,16,40,7,20,0,Player1
2,35,7,8,64,99,38,3,45,39,12,30,2,36,83,18,42,5,46,54,17,50,51,8,46,48,15,23,0,Player1
2,5,6,8,33,43,27,0,24,37,5,12,6,31,45,16,23,2,37,26,7,38,7,4,11,32,10,24,0,Player1
8,34,4,0,49,90,41,0,59,35,5,38,5,30,69,17,48,6,37,34,11,33,48,3,40,49,7,21,0,Player2
1,26,3,13,48,69,27,5,26,37,9,20,2,28,75,14,31,5,43,46,14,30,52,5,51,55,8,19,0,Player2
5,18,8,9,39,58,36,5,42,26,3,25,8,24,60,10,31,5,22,31,8,31,29,6,22,34,14,11,0,Player1
11,12,5,9,49,88,53,5,64,60,10,46,1,48,77,21,51,8,62,44,18,33,27,4,40,61,9,37,0,Player2
11,15,7,4,38,56,49,4,21,21,6,13,3,34,66,13,39,2,37,32,8,27,22,12,32,42,19,22,0,Player1
22,28,1,26,97,128,42,5,27,58,6,14,8,72,106,54,75,3,52,67,9,70,42,10,59,81,11,31,0,Player2
31,8,4,3,45,71,54,2,31,33,2,15,2,34,77,22,64,6,44,24,8,29,18,1,26,55,5,26,0,Player2
5,16,1,1,26,52,15,5,11,26,11,9,1,23,33,14,23,8,34,18,19,20,25,0,46,29,1,13,0,Player2
0,13,6,10,38,45,32,3,22,27,2,14,1,31,60,14,8,1,27,33,3,35,16,6,32,32,12,16,0,Player1
6,11,9,9,46,57,58,3,36,36,5,24,8,38,70,15,40,5,47,38,10,25,22,6,26,50,15,24,0,Player1
4,26,7,6,53,74,41,5,27,25,6,14,0,37,60,19,25,2,33,39,8,35,45,6,44,38,13,22,0,Player1
10,8,1,3,26,45,18,4,15,24,3,11,1,20,37,12,24,8,20,13,11,17,14,1,31,29,2,5,0,Player2
9,10,5,9,44,57,38,1,20,27,3,13,5,39,57,18,34,1,22,39,4,26,16,5,17,39,10,15,0,Player1
3,9,1,1,36,56,30,3,13,31,4,8,2,20,59,13,36,6,24,15,10,25,15,3,27,43,4,9,0,Player2
10,11,2,11,46,55,34,2,22,23,2,15,2,37,48,21,30,0,31,37,2,25,17,1,26,40,3,24,0,Player1
1,5,1,2,15,23,8,1,5,7,3,3,0,5,17,4,11,3,14,7,6,10,11,0,17,10,1,2,0,Player2
10,18,5,32,57,73,32,3,24,23,3,17,5,40,70,19,54,3,31,51,6,40,34,4,22,49,9,19,0,Player1
3,25,6,11,45,60,34,2,54,34,4,31,7,44,69,22,26,2,33,57,6,29,39,15,35,42,21,19,0,Player1
2,31,8,3,54,84,48,4,72,48,15,43,4,36,83,16,36,4,48,38,19,54,43,6,35,51,14,30,0,Player1
6,15,2,4,27,51,36,2,40,32,10,27,1,29,53,17,36,7,32,16,17,18,26,1,30,35,3,12,0,Player2
8,16,5,3,49,62,48,3,22,29,2,15,4,41,55,15,32,0,20,26,2,29,17,9,21,42,14,11,0,Player1
3,40,2,15,51,78,10,2,17,40,9,16,1,32,80,18,23,5,47,57,14,42,65,7,68,62,9,25,0,Player2
11,14,6,6,51,86,23,6,18,31,8,12,2,50,53,23,50,9,46,34,17,54,22,3,51,42,9,20,0,Player2
13,19,1,1,24,47,10,1,19,33,7,13,3,27,40,17,30,7,24,21,14,21,33,7,27,33,8,8,0,Player2
10,7,5,11,38,43,39,1,9,22,0,7,4,30,45,15,26,1,22,32,1,17,8,8,9,31,13,17,0,Player1
12,5,0,5,28,46,17,2,11,27,8,9,4,15,56,9,31,5,30,15,13,28,10,3,35,48,3,14,0,Player2
24,28,0,9,50,68,19,4,24,20,10,21,2,38,39,26,67,3,40,24,13,42,43,3,19,36,3,18,0,Player2
10,15,1,6,49,68,40,1,50,46,6,36,1,32,72,20,50,4,40,28,10,29,26,1,21,57,2,20,0,Player2
8,17,3,2,38,69,32,1,25,24,8,19,2,21,50,13,44,7,34,19,15,24,23,6,34,36,9,13,0,Player2
9,26,4,16,65,92,34,5,22,42,11,15,5,44,69,30,33,7,61,57,18,33,44,1,77,52,5,23,0,Player2
10,9,1,5,36,51,21,5,12,41,5,9,1,28,62,12,34,5,40,29,10,30,19,1,32,51,2,16,0,Player2
5,13,0,1,27,47,24,0,38,31,2,24,0,17,58,13,29,5,34,21,7,21,27,1,30,42,1,19,0,Player2
9,30,5,5,57,95,63,2,56,58,5,40,3,57,91,22,60,6,45,34,11,44,43,13,34,68,18,23,0,Player2
5,16,5,6,63,86,44,5,26,41,7,17,0,42,63,20,35,3,34,29,10,46,26,9,35,45,14,16,0,Player1
6,7,3,6,37,58,33,4,14,33,11,9,0,25,50,15,26,7,47,21,18,24,18,1,47,35,4,16,0,Player2
2,17,3,0,34,47,38,3,32,15,7,19,4,20,47,10,35,1,24,15,8,27,25,5,15,29,8,14,0,Player1
9,3,3,6,46,66,49,4,12,30,6,9,6,32,53,14,37,3,23,23,9,21,13,8,24,42,11,12,0,Player1
4,4,0,3,6,19,7,0,11,11,1,11,3,9,22,7,23,6,16,5,7,5,15,3,18,19,3,3,0,Player2
1,7,8,4,29,45,48,4,15,20,5,9,9,29,48,16,24,5,40,26,10,24,10,5,33,25,13,24,0,Player1
2,12,4,3,35,61,33,4,10,28,5,3,2,34,71,20,22,6,24,33,11,27,20,9,53,41,13,12,0,Player2
2,9,3,0,21,47,23,3,14,11,5,8,5,27,20,14,28,6,10,8,11,15,18,2,27,17,5,4,0,Player2
2,7,6,6,31,43,22,7,14,15,0,9,4,29,51,15,18,4,34,36,4,29,10,4,43,28,10,19,0,Player1
3,29,2,4,29,35,35,7,32,33,9,15,4,36,63,19,24,5,57,30,14,30,39,7,50,48,9,30,0,Player2
0,15,5,8,24,33,15,1,11,8,5,8,4,9,35,2,16,2,26,33,7,18,20,4,18,18,9,14,0,Player1
1,6,3,1,29,50,34,6,9,22,3,8,5,21,60,14,27,5,20,12,8,28,13,2,39,39,5,12,0,Player2
5,0,3,0,12,34,22,2,6,15,3,6,10,8,24,5,24,7,22,5,10,12,0,0,22,18,3,8,0,Player2
0,8,6,2,31,50,20,1,8,16,8,5,3,16,47,10,9,3,18,31,11,25,12,7,34,21,13,10,0,Player1
0,2,6,0,23,31,41,1,5,9,2,4,1,14,32,4,11,2,18,6,4,14,4,1,16,14,7,9,0,Player1
0,5,1,3,18,31,27,3,25,13,2,21,7,20,29,15,24,4,9,9,6,6,8,1,20,21,2,4,0,Player2
2,7,6,8,51,81,45,6,17,39,11,9,5,54,88,30,42,5,41,52,16,43,12,14,54,51,20,23,0,Player2
1,5,1,1,11,27,10,1,15,10,2,12,0,14,23,10,19,6,17,10,8,7,7,1,26,17,2,6,0,Player2
1,4,6,10,29,45,32,2,13,15,2,7,1,24,39,11,19,2,18,18,4,21,7,4,24,21,10,10,0,Player1
1,17,6,4,41,69,28,7,16,28,7,12,2,33,59,16,33,6,29,46,13,20,23,5,44,38,11,13,0,Player2
1,8,8,3,25,44,36,4,15,27,5,8,5,25,72,16,20,6,43,33,11,30,13,6,47,36,14,24,0,Player1
2,4,4,0,32,45,32,0,16,17,2,11,4,16,43,10,16,2,16,14,4,22,7,2,23,25,6,8,0,Player1
2,13,4,6,56,80,48,9,41,35,7,30,6,24,62,15,29,2,19,31,9,25,23,5,32,39,9,10,0,Player2
4,31,8,1,36,70,42,8,20,16,10,10,0,32,67,16,26,9,39,38,19,22,41,7,72,36,15,19,0,Player2
2,23,5,5,38,59,33,4,37,31,6,23,2,32,66,15,30,5,41,38,11,28,34,7,44,43,12,19,0,Player1
4,17,6,4,49,80,57,2,22,42,8,13,5,45,75,20,36,5,42,33,13,36,25,10,45,51,16,23,0,Player1
0,5,0,0,10,26,4,1,9,20,4,8,0,6,23,4,17,6,11,8,10,4,7,0,14,20,0,1,0,Player2
1,4,5,4,23,25,16,0,2,4,0,1,5,19,17,7,4,0,8,20,0,17,7,4,13,9,9,5,0,Player1
4,5,1,1,25,43,27,8,11,19,8,9,3,15,31,13,20,4,19,10,12,14,9,1,29,21,2,11,0,Player2
0,17,5,5,21,27,19,1,15,7,0,8,1,12,30,4,11,1,18,29,1,7,21,4,16,15,9,10,0,Player1
2,1,0,1,12,21,18,5,12,8,2,10,2,15,29,11,25,5,14,6,7,6,4,2,23,20,2,3,0,Player2
2,12,3,4,30,44,24,5,14,22,3,8,2,29,54,15,21,2,26,26,5,36,22,10,31,31,13,17,0,Player1
1,4,1,0,9,19,17,1,4,22,2,3,5,16,27,9,9,5,17,5,7,10,7,3,22,21,4,5,0,Player2
1,15,6,3,20,27,20,1,12,7,2,4,5,13,25,2,10,0,9,23,2,12,18,3,8,13,9,7,0,Player1
5,12,1,1,25,44,26,3,8,14,4,4,2,23,53,13,34,4,21,24,8,15,14,2,33,35,3,10,0,Player2
3,8,6,0,28,44,26,6,28,16,4,18,2,26,46,11,25,3,30,42,7,15,17,2,30,27,8,19,0,Player1
1,7,4,7,21,25,15,3,7,16,2,4,3,15,35,7,6,0,17,22,2,22,12,5,17,20,9,12,0,Player1
2,0,2,1,28,52,26,5,12,22,6,9,2,16,28,12,11,6,12,5,12,17,2,1,34,17,3,3,0,Player2
0,9,3,2,14,34,19,1,13,12,7,8,3,9,29,4,4,7,29,14,14,12,15,1,44,19,4,13,0,Player2
3,10,4,9,44,70,35,6,25,54,9,17,6,46,54,28,27,5,44,27,14,44,18,2,39,42,6,26,0,Player2
0,25,7,8,48,65,34,9,25,33,3,13,5,54,55,24,31,3,36,38,6,45,40,13,43,38,20,17,0,Player1
1,4,5,0,33,59,40,4,14,26,11,9,3,24,56,11,21,7,28,19,18,23,9,4,45,34,9,11,0,Player2
5,10,6,0,40,70,44,6,7,17,6,5,8,30,49,14,35,7,31,29,13,24,14,4,45,32,10,16,0,Player2
1,7,5,0,25,44,39,7,9,26,4,7,2,20,67,11,28,6,19,13,10,24,10,11,29,35,16,8,0,Player2
0,6,4,2,31,48,23,0,3,10,1,1,2,19,31,6,13,1,16,23,2,22,10,1,25,18,5,9,0,Player1
4,13,3,1,24,42,13,6,14,14,7,11,0,21,36,13,15,5,17,13,12,25,22,2,42,23,5,6,0,Player2
1,7,5,1,17,32,20,8,11,13,8,7,2,15,38,5,16,7,22,18,15,13,10,2,37,23,7,7,0,Player2
1,13,3,4,34,61,20,3,17,18,9,13,0,26,43,14,28,4,23,28,13,23,19,5,39,30,8,12,0,Player2
0,11,3,7,18,34,14,5,7,18,4,6,1,19,38,8,15,5,28,25,9,15,17,6,38,28,9,14,0,Player2
3,11,3,1,27,45,25,4,5,17,6,5,8,31,35,21,19,4,34,32,10,18,21,5,46,24,8,19,0,Player2
2,17,3,0,14,26,17,2,18,22,5,12,0,21,61,11,14,5,23,30,10,13,26,4,37,35,7,10,0,Player2
1,10,4,7,19,29,26,2,7,16,3,5,3,19,27,11,13,1,24,18,4,16,21,3,15,15,7,18,0,Player1
1,6,4,3,22,42,25,3,10,33,3,9,6,24,56,11,16,6,18,18,9,23,12,7,34,37,11,6,0,Player2
3,22,2,1,22,33,16,8,18,21,9,11,4,24,40,13,23,5,20,25,14,13,30,6,31,29,8,6,0,Player2
1,4,1,0,18,29,24,2,8,16,5,6,2,17,31,13,21,5,21,6,10,9,4,2,26,21,3,5,0,Player2
2,10,4,4,28,40,16,3,13,12,4,9,2,20,33,7,13,1,14,26,5,24,13,3,21,21,7,11,0,Player1
0,31,4,2,18,20,21,0,15,16,1,7,4,28,41,13,6,0,21,33,1,16,40,7,22,23,11,15,0,Player1
1,12,0,0,24,39,35,3,16,21,6,10,3,16,51,8,26,3,29,20,9,7,15,7,32,37,7,13,0,Player2
0,4,4,3,19,24,27,2,12,9,5,6,2,15,28,9,7,0,26,19,5,13,7,1,22,15,5,19,0,Player1
0,6,5,6,21,27,21,2,10,12,1,7,2,16,44,8,14,1,15,24,2,19,8,10,16,20,15,9,0,Player1
0,9,10,2,35,64,53,8,12,32,8,9,4,43,60,15,34,8,30,25,16,28,11,8,37,35,18,14,0,Player1
0,5,3,1,38,63,23,5,9,18,8,8,4,26,43,15,21,5,21,25,13,27,7,3,48,30,6,9,0,Player2
0,6,5,3,26,42,41,2,7,13,4,5,2,22,36,8,31,3,21,11,7,18,7,5,11,19,10,11,0,Player1
0,6,5,2,22,36,18,1,4,13,1,2,1,15,32,6,2,1,15,25,2,17,9,5,25,15,10,11,0,Player1
1,10,2,1,31,45,34,9,19,19,2,13,3,28,50,15,24,3,25,20,5,22,17,4,41,35,6,14,0,Player2
1,7,3,0,20,45,32,2,30,12,5,22,2,22,33,13,28,6,17,9,11,8,13,0,32,21,3,6,0,Player2
0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,3,1,4,1,1,0,1,0,1,2,0,0,0,Player2
7,14,3,1,38,62,29,1,10,30,2,8,11,29,56,21,35,4,27,32,6,28,21,2,32,39,5,15,0,Player2
0,7,6,0,26,46,28,0,8,8,3,6,2,15,32,5,6,2,11,17,5,20,13,5,27,13,11,8,0,Player1
1,8,2,0,20,36,13,4,10,18,2,9,1,11,43,6,21,5,14,16,7,17,13,2,24,29,4,6,0,Player2
0,22,4,2,43,69,33,0,25,25,7,15,0,24,46,13,30,2,25,36,9,21,30,0,19,27,4,17,0,Player1
1,6,0,2,15,28,10,3,20,10,2,14,0,16,23,12,16,4,10,10,6,6,13,0,28,20,0,4,0,Player2
8,18,5,5,30,52,33,3,10,27,5,6,4,29,54,13,29,7,50,37,12,23,24,4,43,38,9,27,0,Player2
0,3,3,1,23,39,41,4,17,39,3,12,6,20,46,15,13,4,25,8,7,14,4,5,25,28,8,11,0,Player2
5,2,1,0,34,48,26,2,18,24,9,13,1,23,44,14,35,2,24,11,11,26,7,6,20,35,7,10,0,Player2
3,17,6,4,34,52,41,2,27,35,6,16,6,41,58,22,34,6,46,30,12,32,29,3,33,37,9,23,0,Player1
0,13,2,7,29,36,25,1,25,26,2,17,3,35,71,18,29,2,41,35,4,36,20,7,36,48,9,24,0,Player2
4,9,3,0,31,54,24,9,12,24,11,11,6,21,47,10,21,4,21,29,15,22,17,3,38,34,6,14,0,Player2
3,11,5,1,31,42,36,4,16,17,3,9,3,20,43,9,26,3,17,16,6,20,14,6,14,22,11,6,0,Player1
3,44,9,5,72,113,67,3,59,50,15,39,10,73,112,41,59,8,47,69,23,45,67,18,68,66,27,21,0,Player2
1,2,4,2,26,37,30,0,10,15,0,6,5,8,32,5,16,1,16,13,1,15,4,3,9,18,7,10,0,Player1
3,9,5,1,31,46,17,2,6,15,7,5,4,9,36,2,12,2,19,27,9,22,9,1,23,22,6,10,0,Player1
0,22,6,1,46,81,40,1,37,31,11,28,0,38,66,18,37,7,40,47,18,26,36,2,45,39,8,20,0,Player2
1,11,1,1,29,45,24,4,11,27,10,7,1,19,39,13,15,3,29,17,13,18,16,1,36,28,2,12,0,Player2
1,20,3,2,42,57,20,3,11,32,7,9,3,34,53,16,16,1,37,46,8,30,29,9,43,41,12,21,0,Player1
4,6,2,0,11,21,18,4,22,19,2,16,2,16,42,9,21,5,23,15,7,11,10,4,24,28,6,10,0,Player2
3,13,6,1,36,57,46,3,42,29,3,29,7,36,54,18,41,4,25,14,7,37,26,8,15,31,14,13,0,Player1
2,4,2,2,20,41,15,0,6,32,3,2,0,18,34,10,13,5,15,11,8,17,5,1,20,25,3,6,0,Player2
2,13,4,1,35,70,37,1,25,26,7,18,6,17,44,10,41,6,13,14,13,20,21,4,13,29,8,8,0,Player2
1,10,3,0,16,33,12,4,9,24,3,7,4,17,30,10,11,6,18,17,9,14,15,2,28,21,5,7,0,Player2
4,5,6,0,36,63,51,5,31,36,3,20,5,31,65,13,42,7,30,10,10,36,9,7,24,43,13,16,0,Player2
1,12,4,2,24,31,21,2,12,11,2,9,1,17,34,5,14,1,16,18,3,19,15,3,18,23,7,10,0,Player1
1,13,6,1,36,69,26,4,13,36,10,7,3,27,56,12,22,7,23,24,17,34,20,6,40,37,12,11,0,Player2
0,21,9,4,0,0,30,1,16,0,5,12,5,0,0,0,10,1,0,22,5,0,25,13,13,0,13,0,0,Player1
9,14,5,11,0,0,32,3,20,0,7,15,3,0,0,0,29,2,0,44,7,0,23,9,28,0,9,0,0,Player1
3,36,6,7,0,0,22,4,47,0,9,28,3,0,0,0,38,3,0,40,9,0,57,16,23,0,16,0,0,Player1
8,18,4,13,0,0,33,6,28,0,19,20,2,0,0,0,29,6,0,59,19,0,29,10,64,0,10,0,0,Player2
13,8,1,7,0,0,20,6,27,0,13,16,1,0,0,0,35,6,0,30,13,0,17,5,32,0,5,0,0,Player2
11,11,1,6,0,0,24,4,16,0,9,9,3,0,0,0,24,4,0,19,9,0,19,4,33,0,4,0,0,Player2
10,13,3,8,0,0,45,6,26,0,17,16,3,0,0,0,44,7,0,31,17,0,21,6,44,0,6,0,0,Player2
3,8,7,5,0,0,72,1,40,0,11,29,7,0,0,0,48,5,0,28,11,0,16,14,26,0,14,0,0,Player1
2,6,2,0,0,0,20,4,6,0,9,4,1,0,0,0,15,7,0,20,9,0,15,4,52,0,4,0,0,Player2
9,23,5,7,0,0,61,5,27,0,7,18,8,0,0,0,47,2,0,39,7,0,33,15,40,0,15,0,0,Player1
12,27,2,3,0,0,31,7,20,0,11,12,6,0,0,0,32,5,0,34,11,0,39,10,53,0,10,0,0,Player2
4,19,10,14,0,0,54,2,17,0,11,14,4,0,0,0,31,5,0,53,11,0,28,13,51,0,13,0,0,Player1
10,27,1,8,0,0,32,2,27,0,16,18,3,0,0,0,34,4,0,32,16,0,39,2,52,0,2,0,0,Player2
7,19,1,2,0,0,25,7,21,0,12,16,0,0,0,0,35,7,0,26,12,0,25,3,35,0,3,0,0,Player2
11,26,3,9,0,0,45,3,24,0,9,20,5,0,0,0,44,6,0,31,9,0,47,9,49,0,9,0,0,Player2
9,7,4,11,0,0,39,2,30,0,3,19,2,0,0,0,30,0,0,30,3,0,9,13,12,0,13,0,0,Player1
2,33,8,9,0,0,67,2,16,0,8,14,1,0,0,0,30,3,0,54,8,0,51,14,61,0,14,0,0,Player1
12,19,4,7,0,0,39,3,9,0,8,4,6,0,0,0,35,6,0,44,8,0,26,13,49,0,13,0,0,Player2
8,7,8,15,0,0,42,1,35,0,5,22,8,0,0,0,29,4,0,46,5,0,10,18,34,0,18,0,0,Player1
15,19,7,7,0,0,83,3,22,0,13,15,11,0,0,0,57,4,0,44,13,0,26,21,60,0,21,0,0,Player1
14,6,1,4,0,0,33,4,14,0,13,7,2,0,0,0,43,6,0,21,13,0,9,4,42,0,4,0,0,Player2
4,8,5,7,0,0,51,6,6,0,4,5,4,0,0,0,24,2,0,39,4,0,14,7,43,0,7,0,0,Player1
3,14,7,2,0,0,42,3,17,0,11,14,6,0,0,0,24,1,0,24,11,0,24,11,20,0,11,0,0,Player1
5,9,6,18,0,0,38,1,9,0,6,5,1,0,0,0,23,1,0,38,6,0,13,8,23,0,8,0,0,Player1
12,26,3,19,0,0,38,8,16,0,15,12,6,0,0,0,41,4,0,59,15,0,42,22,49,0,22,0,0,Player2
15,45,3,7,0,0,12,16,7,0,11,4,3,0,0,0,40,4,0,56,11,0,73,12,60,0,12,0,0,Player2
7,14,3,19,0,0,32,4,9,0,6,7,8,0,0,0,27,1,0,40,6,0,25,8,42,0,8,0,0,Player1
3,6,2,3,0,0,19,1,15,0,5,11,0,0,0,0,18,4,0,14,5,0,14,4,21,0,4,0,0,Player2
9,8,0,5,0,0,14,2,11,0,10,10,2,0,0,0,42,6,0,16,10,0,22,2,26,0,2,0,0,Player2
3,11,7,9,0,0,39,2,9,0,2,5,3,0,0,0,13,1,0,27,2,0,16,13,21,0,13,0,0,Player1
8,19,6,3,0,0,46,5,45,0,16,28,2,0,0,0,28,7,0,39,16,0,36,11,54,0,11,0,0,Player2
10,20,5,17,0,0,44,6,51,0,11,31,4,0,0,0,38,2,0,47,11,0,37,7,38,0,7,0,0,Player1
9,15,3,11,0,0,22,2,14,0,5,5,2,0,0,0,28,2,0,41,5,0,22,7,27,0,7,0,0,Player1
10,24,5,11,0,0,53,3,39,0,5,28,6,0,0,0,45,3,0,42,5,0,34,16,31,0,16,0,0,Player1
5,13,2,4,0,0,10,5,20,0,17,14,0,0,0,0,33,6,0,27,17,0,21,2,27,0,2,0,0,Player2
0,9,8,1,0,0,62,3,33,0,12,25,6,0,0,0,33,5,0,17,12,0,14,15,27,0,15,0,0,Player1
